person_id,full_name,is_pep,is_sanctioned,risk_level,confidence_score,primary_source,political_party,constituency,county,position_title,institution_name,profile_url,source_url,entity_status
1,His Excellency Dr. Musalia Mudavadi E.G.H.,True,False,LOW,97.0,Cabinet,,,,Prime Cabinet Secretary and Cabinet Secretary for Foreign and Diaspora Affairs,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/musalia-mudavadi/,https://www.president.go.ke/cabinet/,ACTIVE
2,Onesimus Kipchumba Murkomen,True,False,LOW,97.0,Cabinet,,,,Interior and National Administration,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/kithure-kindiki/,https://www.president.go.ke/cabinet/,ACTIVE
3,"Davis Chirchir, E.G.H",True,False,LOW,97.0,Cabinet,,,,Roads and Transport,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/njuguna-ndungu/,https://www.president.go.ke/cabinet/,ACTIVE
4,"Hassan Ali Joho, E.G.H",True,False,LOW,97.0,Cabinet,,,,"Mining, Blue Economy and Maritime Affairs",Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/aisha-jumwa/,https://www.president.go.ke/cabinet/,ACTIVE
5,"Aden Duale, E.G.H.",True,False,LOW,97.0,Cabinet,,,,Health,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/aden-duale/,https://www.president.go.ke/cabinet/,ACTIVE
6,"Alice Wahome, E.G.H.",True,False,LOW,97.0,Cabinet,,,,"Lands, Public Works, Housing and Urban Development",Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/alice-wahome/,https://www.president.go.ke/cabinet/,ACTIVE
7,"Dr. Alfred Mutua, E.G.H.",True,False,LOW,97.0,Cabinet,,,,Labour and Social Protection,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/alfred-mutua/,https://www.president.go.ke/cabinet/,ACTIVE
8,Julius Migos Ogamba,True,False,LOW,97.0,Cabinet,,,,Education,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/moses-kuria/,https://www.president.go.ke/cabinet/,ACTIVE
9,"Rebecca Miano, E.G.H.",True,False,LOW,97.0,Cabinet,,,,Tourism and Wildlife,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/rebecca-miano/,https://www.president.go.ke/cabinet/,ACTIVE
10,Salim Mvurya,True,False,LOW,97.0,Cabinet,,,,"Youth Affairs, Creative Economy and Sports",Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/onesmus-kipchumba-murkomen/,https://www.president.go.ke/cabinet/,ACTIVE
11,"Roselinda Soipan Tuya, E.G.H.",True,False,LOW,97.0,Cabinet,,,,Defence,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/roselinda-soipan-tuya/,https://www.president.go.ke/cabinet/,ACTIVE
12,"Wycliffe Ambetsa Oparanya, FCPA, E.G.H",True,False,LOW,97.0,Cabinet,,,,Co-operatives and Micro Small and Medium Enterprises (MSMEs) Development,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/peninah-malonza/,https://www.president.go.ke/cabinet/,ACTIVE
13,"John Mbadi Ng’ongo, E.G.H.",True,False,LOW,97.0,Cabinet,,,,National Treasury and Economic Planning,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/mithika-linturi/,https://www.president.go.ke/cabinet/,ACTIVE
14,Eric Muriithi Muuga,True,False,LOW,97.0,Cabinet,,,,"Water, Sanitation and Irrigation",Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/ezekiel-machogu/,https://www.president.go.ke/cabinet/,ACTIVE
15,Dr. Deborah Mulongo Barasa,True,False,LOW,97.0,Cabinet,,,,"Environment, Climate Change & Forestry",Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/simon-chelugui/,https://www.president.go.ke/cabinet/,ACTIVE
16,Lee Maiyani Kinyanjui,True,False,LOW,97.0,Cabinet,,,,"Investments, Trade and Industry",Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/salim-mvurya/,https://www.president.go.ke/cabinet/,ACTIVE
17,Mutahi Kagwe E.G.H.,True,False,LOW,97.0,Cabinet,,,,Agriculture and Livestock Development,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/florence-bore/,https://www.president.go.ke/cabinet/,ACTIVE
18,"James Opiyo Wandayi, E.G.H",True,False,LOW,97.0,Cabinet,,,,Energy and Petroleum,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/eliud-owalo/,https://www.president.go.ke/cabinet/,ACTIVE
19,William Kabogo Gitau,True,False,LOW,97.0,Cabinet,,,,Information Communication and the Digital Economy,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/susan-nakhumicha-wafula/,https://www.president.go.ke/cabinet/,ACTIVE
20,Geoffrey Kiringa Ruku,True,False,LOW,97.0,Cabinet,,,,Public Service and Human Capital Development,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/justin-bedan-njoka-muturi/,https://www.president.go.ke/cabinet/,ACTIVE
21,Mercy Kiiru Wanjau,True,False,LOW,97.0,Cabinet,,,,Secretary to the Cabinet,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/mercy-kiiru-wanjau/,https://www.president.go.ke/cabinet/,ACTIVE
22,Ms. Beatrice Asukul Moe,True,False,LOW,97.0,Cabinet,,,,East Africa Community and Regional Affairs,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/beatrice-asikul/,https://www.president.go.ke/cabinet/,ACTIVE
23,"Ms. Dorcas Agik Oduor SC, E.B.S., O.G.W.",True,False,LOW,97.0,Cabinet,,,,Hon. Attorney-General,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/dorcas-oduor/,https://www.president.go.ke/cabinet/,ACTIVE
24,Hanna Wendot Cheptumo,True,False,LOW,97.0,Cabinet,,,,Gender,Cabinet of Kenya,https://www.president.go.ke/cabinet-secretary/hanna-wendot-cheptumo/,https://www.president.go.ke/cabinet/,ACTIVE
25,"His Excellency Dr. William Samoei Ruto, C.G.H.",True,False,LOW,99.0,Presidency,,,,President of the Republic of Kenya and Commander-in-Chief of the Defence Forces,Office of the President,,https://www.president.go.ke/administration/office-of-the-president/,ACTIVE
26,Mr. Felix K. Koskei,True,False,LOW,97.0,Presidency,,,,Chief of Staff and Head of Public Service,Office of the President,,https://www.president.go.ke/administration/office-of-the-president/,ACTIVE
27,"Hon. Katoo Ole Metito, EGH",True,False,LOW,97.0,Presidency,,,,Statehouse Comptroller,Office of the President,,https://www.president.go.ke/administration/office-of-the-president/,ACTIVE
